iter	Passed	Remaining
172	248	1186
173	248	1181
174	249	1176
175	250	1170
176	250	1166
177	251	1161
178	252	1156
179	252	1151
180	253	1146
181	253	1141
182	254	1136
183	255	1131
184	255	1127
185	256	1122
186	257	1117
187	257	1113
188	258	1108
189	258	1104
190	259	1099
191	260	1095
192	261	1091
193	261	1088
194	262	1083
195	263	1079
196	263	1074
197	264	1070
198	264	1066
199	265	1062
200	266	1058
201	267	1055
202	267	1051
203	268	1047
204	268	1043
205	269	1038
206	270	1034
207	270	1030
208	271	1026
209	271	1023
210	272	1019
211	273	1015
212	273	1011
213	274	1007
214	274	1003
215	275	1000
216	276	996
217	276	992
218	277	989
219	277	985
220	278	982
221	279	978
222	280	977
223	281	973
224	281	970
225	282	966
226	282	963
227	283	959
228	284	956
229	284	953
230	285	949
231	285	946
232	286	942
233	287	939
234	287	936
235	288	933
236	289	930
237	289	927
238	290	924
239	290	921
240	291	918
241	292	914
242	292	912
243	293	909
244	294	906
245	295	904
246	296	902
247	296	899
248	297	896
249	297	893
250	298	890
251	299	888
252	300	885
253	300	882
254	301	880
255	302	877
256	302	875
257	303	873
258	304	870
259	304	868
260	305	866
261	306	863
262	307	861
263	307	858
264	308	856
265	309	853
266	309	850
267	310	848
268	311	845
269	311	843
270	312	841
271	313	839
272	314	836
273	314	834
274	315	831
275	316	829
276	316	827
277	317	824
278	318	822
279	318	820
280	319	817
281	320	815
282	320	812
283	321	809
284	321	807
285	322	804
286	323	802
287	323	800
288	324	797
289	325	795
290	325	793
291	326	791
292	327	789
293	327	787
294	328	784
295	328	782
296	329	780
297	330	777
298	331	776
299	331	773
300	332	771
301	333	769
302	333	767
303	334	765
304	334	763
305	335	760
306	336	758
307	336	756
308	337	755
309	338	753
310	339	752
311	340	750
312	340	747
313	341	745
314	341	743
315	342	741
316	343	739
317	344	737
318	344	735
319	345	733
320	345	731
321	346	729
322	347	727
323	347	725
324	348	723
325	348	721
326	349	719
327	350	718
328	351	716
329	352	714
330	352	712
331	353	710
332	353	708
333	354	707
334	355	705
335	356	704
336	356	702
337	357	700
338	358	698
339	358	696
340	359	694
341	360	693
342	360	691
343	361	689
344	362	687
345	362	685
346	363	684
347	364	682
348	364	680
349	365	679
350	366	677
351	367	675
352	367	673
353	368	672
354	368	670
355	369	668
356	370	666
357	370	665
358	371	663
359	372	661
360	372	660
361	373	658
362	374	656
363	374	654
364	375	653
365	376	652
366	377	650
367	377	648
368	378	647
369	379	645
370	379	643
371	380	642
372	381	640
373	381	639
374	382	638
375	383	636
376	384	634
377	384	633
378	385	631
379	386	629
380	386	628
381	387	626
382	388	625
383	388	623
384	389	622
385	390	620
386	390	618
387	391	617
388	391	615
389	392	614
390	393	612
391	393	610
392	394	609
393	395	607
394	395	606
395	396	604
396	397	603
397	397	601
398	398	600
399	399	598
400	399	596
401	400	595
402	400	593
403	401	592
404	402	590
405	402	589
406	403	588
407	404	586
408	404	585
409	405	583
410	406	581
411	406	580
412	407	578
413	408	577
414	409	576
415	409	575
416	410	573
417	410	572
418	411	570
419	412	569
420	412	567
421	413	566
422	414	564
423	414	563
424	415	562
425	416	560
426	416	559
427	417	557
428	417	556
429	418	554
430	419	553
431	419	552
432	420	550
433	421	549
434	422	548
435	422	546
436	423	545
437	424	544
438	424	542
439	425	541
440	426	540
441	427	539
442	427	537
443	428	536
444	429	535
445	429	533
446	430	532
447	431	531
448	432	530
449	432	529
450	433	527
451	434	526
452	435	525
453	435	524
454	436	522
455	437	521
456	437	520
457	438	518
458	439	517
459	439	516
460	440	515
461	441	514
462	442	513
463	443	511
464	443	510
465	444	509
466	445	508
467	445	506
468	446	505
469	447	504
470	448	503
471	449	502
472	449	501
473	450	499
474	451	498
475	451	497
476	452	496
477	453	494
478	454	493
479	454	492
480	455	491
481	456	490
482	456	489
483	457	487
484	458	486
485	458	485
486	459	484
487	460	483
488	461	482
489	461	480
490	462	479
491	463	478
492	463	476
493	464	475
494	465	474
495	465	473
496	466	472
497	467	470
498	467	469
499	468	468
500	469	467
501	470	466
502	470	465
503	471	464
504	472	463
505	473	461
506	473	460
507	474	459
508	475	458
509	476	457
510	476	456
511	477	455
512	478	453
513	478	452
514	479	451
515	479	450
516	480	449
517	481	448
518	482	446
519	482	445
520	483	444
521	483	443
522	484	441
523	485	440
524	485	439
525	486	438
526	487	437
527	487	436
528	488	435
529	489	433
530	489	432
531	490	431
532	491	430
533	491	429
534	492	428
535	493	427
536	494	426
537	494	424
538	495	423
539	496	422
540	496	421
541	497	420
542	498	419
543	499	418
544	499	417
545	500	416
546	501	414
547	501	413
548	502	412
549	503	411
550	503	410
551	504	409
552	505	408
553	505	407
554	506	406
555	507	405
556	508	404
557	508	403
558	509	402
559	510	400
560	510	399
561	511	398
562	512	397
563	513	396
564	513	395
565	514	394
566	514	393
567	515	392
568	516	391
569	516	389
570	518	389
571	519	388
572	519	387
573	520	386
574	521	385
575	521	384
576	522	383
577	523	382
578	524	381
579	524	380
580	525	378
581	526	377
582	526	376
583	527	375
584	528	374
585	529	373
586	529	372
587	530	372
588	531	370
589	532	369
590	532	368
591	533	367
592	534	366
593	535	365
594	535	364
595	536	363
596	537	362
597	538	361
598	538	360
599	539	359
600	540	358
601	541	357
602	541	356
603	542	355
604	543	354
605	544	353
606	544	352
607	545	351
608	546	350
609	547	349
610	547	348
611	548	347
612	549	346
613	550	346
614	551	345
615	552	344
616	553	343
617	553	342
618	554	341
619	555	340
620	556	339
621	556	338
622	557	337
623	558	336
624	559	335
625	559	334
626	560	333
627	561	332
628	561	331
629	562	330
630	563	329
631	564	328
632	564	327
633	565	326
634	566	325
635	567	324
636	568	323
637	569	322
638	569	321
639	570	320
640	571	319
641	571	318
642	572	317
643	573	316
644	574	315
645	574	315
646	575	313
647	576	313
648	577	312
649	578	311
650	579	310
651	579	309
652	580	308
653	581	307
654	582	306
655	582	305
656	583	304
657	584	303
658	585	302
659	586	301
660	586	301
661	587	300
662	588	298
663	588	297
664	589	297
665	590	296
666	591	295
667	592	294
668	592	293
669	593	292
670	594	291
671	595	290
672	595	289
673	596	288
674	597	287
675	598	286
676	599	285
677	600	284
678	601	284
679	602	283
680	603	282
681	603	281
682	604	280
683	606	279
684	607	279
685	608	278
686	608	277
687	609	276
688	610	275
689	611	274
690	612	273
691	613	272
692	614	272
693	614	271
694	615	270
695	616	269
696	617	268
697	617	267
698	618	266
699	619	265
700	620	264
701	621	263
702	622	263
703	623	262
704	624	261
705	625	260
706	625	259
707	627	258
708	627	257
709	628	256
710	629	255
711	630	254
712	631	254
713	631	253
714	632	252
715	633	251
716	634	250
717	635	249
718	635	248
719	636	247
720	637	246
721	637	245
722	638	244
723	639	243
724	640	242
725	641	241
726	641	241
727	642	240
728	643	239
729	644	238
730	644	237
731	645	236
732	646	235
733	646	234
734	647	233
735	648	232
736	649	231
737	650	230
738	650	229
739	651	229
740	653	228
741	654	227
742	655	226
743	656	225
744	657	224
745	658	224
746	659	223
747	660	222
748	660	221
749	661	220
750	662	219
751	663	218
752	663	217
753	664	216
754	664	215
755	665	214
756	666	213
757	667	212
758	667	212
759	668	211
760	669	210
761	669	209
762	670	208
763	671	207
764	672	206
765	673	205
766	674	204
767	674	203
768	675	202
769	676	202
770	676	201
771	677	200
772	678	199
773	679	198
774	680	197
775	681	196
776	682	195
777	683	194
778	684	194
779	684	193
780	685	192
781	686	191
782	687	190
783	688	189
784	688	188
785	689	187
786	690	186
787	691	186
788	692	185
789	693	184
790	694	183
791	695	182
792	696	181
793	697	180
794	698	180
795	699	179
796	699	178
797	700	177
798	701	176
799	702	175
800	703	174
801	703	173
802	704	172
803	705	171
804	705	170
805	706	170
806	707	169
807	708	168
808	709	167
809	710	166
810	711	165
811	711	164
812	712	163
813	713	163
814	714	162
815	715	161
816	716	160
817	716	159
818	717	158
819	718	157
820	719	156
821	720	156
822	721	155
823	722	154
824	723	153
825	723	152
826	724	151
827	725	150
828	726	149
829	727	149
830	728	148
831	729	147
832	730	146
833	731	145
834	732	144
835	733	143
836	734	142
837	735	142
838	736	141
839	736	140
840	737	139
841	738	138
842	739	137
843	740	136
844	741	135
845	742	135
846	742	134
847	743	133
848	744	132
849	745	131
850	746	130
851	747	129
852	748	128
853	749	128
854	750	127
855	751	126
856	751	125
857	752	124
858	753	123
859	754	122
860	755	121
861	756	121
862	757	120
863	758	119
864	759	118
865	760	117
866	761	116
867	762	115
868	763	115
869	764	114
870	765	113
871	766	112
872	767	111
873	768	110
874	768	109
875	769	108
876	770	108
877	771	107
878	772	106
879	773	105
880	773	104
881	774	103
882	775	102
883	776	101
884	777	100
885	778	100
886	778	99
887	779	98
888	780	97
889	781	96
890	781	95
891	782	94
892	783	93
893	784	93
894	785	92
895	785	91
896	786	90
897	787	89
898	788	88
899	788	87
900	789	86
901	790	85
902	791	85
903	792	84
904	793	83
905	793	82
906	794	81
907	795	80
908	795	79
909	796	78
910	797	77
911	798	77
912	798	76
913	799	75
914	800	74
915	801	73
916	801	72
917	802	71
918	803	70
919	804	69
920	805	69
921	805	68
922	806	67
923	807	66
924	807	65
925	808	64
926	809	63
927	810	62
928	811	62
929	812	61
930	812	60
931	813	59
932	814	58
933	815	57
934	815	56
935	816	55
936	817	54
937	818	54
938	819	53
939	819	52
940	820	51
941	821	50
942	822	49
943	823	48
944	823	47
945	824	47
946	825	46
947	825	45
948	826	44
949	827	43
950	828	42
951	828	41
952	829	40
953	830	40
954	831	39
955	832	38
956	833	37
957	833	36
958	834	35
959	835	34
960	836	33
961	837	33
962	838	32
963	838	31
964	839	30
965	840	29
966	841	28
967	842	27
968	842	26
969	843	26
970	844	25
971	845	24
972	846	23
973	846	22
974	847	21
975	848	20
976	849	19
977	849	19
978	850	18
979	851	17
980	852	16
981	853	15
982	854	14
983	854	13
984	855	13
985	856	12
986	857	11
987	858	10
988	858	9
989	859	8
990	860	7
991	861	6
992	862	6
993	863	5
994	863	4
995	864	3
996	865	2
997	866	1
998	867	0
999	868	0
